ID,Quote,Positive,Negative,Neutral,Compound
61,"“If you meditate earnestly, pure in mind and kind in deeds, leading a disciplined life in harmony with the dharma, you will grow in glory. If you meditate earnestly, through spiritual disciplines you can make an island for yourself that no flood can overwhelm.”,",0.185,0.042,0.772,0.8126
62,"“If you light a lamp for someone else it will also brighten your path.”,",0.182,0.0,0.818,0.4404
63,"“Neither fire, nor wind, birth, nor death, can erase our good deeds.”,",0.347,0.138,0.516,0.5641
64,"“Happiness comes when your work and words are of benefit to yourself and others.”,",0.188,0.0,0.812,0.4588
65,"“Work out your own salvation. Do not depend on others.”,",0.0,0.0,1.0,0.0
66,"“If we fail to look after others when they need help, who will look after us?”,",0.134,0.173,0.693,-0.2023
67,"“One who acts on truth is happy in this world and beyond.”,",0.375,0.0,0.625,0.7184
68,"“Remembering a wrong is like carrying a burden on the mind.”,",0.152,0.364,0.485,-0.5423
69,"“There is no fear for one whose mind is not filled with desires.”,",0.18,0.0,0.82,0.3875
70,"“Irrigators channel waters; fletchers straighten arrows; carpenters bend wood; the wise master themselves.”,",0.205,0.0,0.795,0.4767
71,"“Stop, stop. Do not speak. The ultimate truth is not even to think.”,",0.148,0.142,0.71,0.0258
72,"“Endurance is one of the most difficult disciplines, but it is to the one who endures that the final victory comes.”,",0.0,0.087,0.913,-0.2255
73,"“Avoid evil deeds as a man who loves life avoids poison.”,",0.208,0.343,0.449,-0.34
74,"“If anything is worth doing, do it with all your heart.”,",0.16,0.0,0.84,0.2263
75,"“You are far from the end of your journey. The way is not in the sky. The way is in the heart. See how you love.”,",0.144,0.0,0.856,0.6369
76,"“Hatred does not cease by hatred, but only by love; this is the eternal rule.”,",0.38,0.0,0.62,0.8395
77,"“You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You yourself, as much as anybody in the entire universe deserves your love and affection.”,",0.215,0.0,0.785,0.9153
78,"“There has to be evil so that good can prove its purity above it.”,",0.162,0.225,0.613,-0.3008
79,"“True love is born from understanding.”,",0.457,0.0,0.543,0.6369
80,"“Just as a mother would protect her only child with her life, even so let one cultivate a boundless love towards all beings.”,",0.245,0.0,0.755,0.7783
81,"“Ambition is like love, impatient both of delays and rivals.”,",0.421,0.138,0.44,0.6705
82,"“Just as a snake sheds its skin, we must shed our past over and over again.”,",0.0,0.0,1.0,0.0
83,"“Everything that has a beginning has an ending. Make your peace with that and all will be well.”,",0.171,0.0,0.829,0.5423
84,"“The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.”,",0.202,0.0,0.798,0.7243
85,"“To conquer oneself is a greater task than conquering others.”,",0.217,0.0,0.783,0.3612
86,"“If we could see the miracle of a single flower clearly, our whole life would change.”,",0.317,0.0,0.683,0.7579
87,"“To live a pure unselfish life, one must count nothing as one’s own in the midst of abundance.”,",0.0,0.0,1.0,0.0
88,"“If your compassion does not include yourself, it is incomplete.”,",0.25,0.0,0.75,0.4588
89,"“Have compassion for all beings, rich and poor alike; each has their suffering. Some suffer too much, others too little.”,",0.211,0.31,0.479,-0.4767
90,"“Teach this triple truth to all: A generous heart, kind speech, and a life of service and compassion are the things which renew humanity.”,",0.46,0.0,0.54,0.9451
91,"“‎Imagine that every person in the world is enlightened but you. They are all your teachers, each doing just the right things to help you learn perfect patience, perfect wisdom, perfect compassion.”,",0.494,0.0,0.506,0.9806
92,"“As rain falls equally on the just and the unjust, do not burden your heart with judgement but rain your kindness equally on all.”,",0.19,0.144,0.666,0.3333
93,"“In separateness lies the world’s greatest misery; in compassion lies the world’s true strength.”,",0.366,0.341,0.293,0.1779
94,"“For the good of the many, for the happiness of the many, out of compassion for the world.”,",0.388,0.0,0.612,0.8591
95,"“People with opinions just go around bothering each other.”,",0.0,0.245,0.755,-0.3818
96,"“Whatever living beings there may be feeble or strong, long, stout, or of medium size, short, small, large, those seen or those unseen, those dwelling far or near, those who are born as well as those yet to be born may all beings have happy minds.”,",0.22,0.041,0.739,0.8271
97,"“The tongue like a sharp knife kills without drawing blood.”,",0.179,0.25,0.571,-0.25
98,"“Holding onto anger is like drinking poison and expecting the other person to die.”,",0.121,0.348,0.531,-0.6908
99,"“You will not be punished for your anger. You will be punished by your anger.”,",0.117,0.316,0.567,-0.6393
100,"“Conquer anger with non-anger. Conquer badness with goodness. Conquer meanness with generosity.”,",0.18,0.222,0.599,-0.1779
101,"“Your worst enemy cannot harm you as much as your own unguarded thoughts.”,",0.139,0.372,0.489,-0.6956
102,"“Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.”,",0.083,0.123,0.795,-0.296
103,"“Anger will never disappear so long as thoughts of resentment are cherished in the mind. Anger will disappear as soon as thoughts of resentment are forgotten.”,",0.137,0.313,0.55,-0.7531
104,"“Chaos is inherent in all compounded things. Strive on with diligence.”,",0.0,0.0,1.0,0.0
105,"“It is a man’s own mind, not his enemy or foe, that lures him to evil ways.”,",0.118,0.302,0.58,-0.6652
106,"“Silence the angry man with love. Silence the ill-natured man with kindness. Silence the miser with generosity. Silence the liar with truth.”,",0.292,0.262,0.446,0.2732
107,"“At the end of the day, I’m at peace because my intentions are good and my heart is pure.”,",0.398,0.0,0.602,0.891
108,"“It’s better to travel well than to arrive.”,",0.455,0.0,0.545,0.6124
109,"“A man is not called wise because he talks and talks again; but if he is peaceful, loving, and fearless then he is in truth called wise.”,",0.409,0.044,0.547,0.9491
110,"“Peace comes from within. Do not seek it without.”,",0.0,0.0,1.0,0.0
111,"“Those who are free of resentful thoughts surely find peace.”,",0.38,0.19,0.429,0.4767
112,"“Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind.”,",0.077,0.198,0.725,-0.4284
113,"“Better than a thousand hollow words, is one word that brings peace.”,",0.0,0.0,1.0,0.0
114,"“However many holy words you read, however many you speak, what good will they do you If you do not act upon them?”,",0.116,0.0,0.884,0.4404
115,"“To support mother and father, to cherish wife and children, and to be engaged in peaceful occupation — this is the greatest blessing.”,",0.461,0.0,0.539,0.9371
116,"“Friendship is the only cure for hatred, the only guarantee of peace.”,",0.123,0.259,0.617,-0.4939
117,",",0.0,0.0,1.0,0.0
